row_names	Blank	Negctrl	OMblank	OMnegf	OMnegm	R21f	R21m	R24f	R24m	R34f	R34m	S04A	S05E	S06A	S09E	S10A	S11E	S12f	S12m	S13f	S13m	S14A	S15E	S17E	S18A	S19E	S20A	S21E	S23f	S23m	S26A	S27E	S30A	S31E	S31f	S31m	S34A	S35E	S36A	S37E	W09A	W10E	W15A	W16E	W17A	W18E	W19A	W20E	W28E	W29A	W30E	W31A	W32E	Taxon	Consensus
ASV1	0	498	138	0	0	0	85279	36	75543	82	112847	674	530	0	0	0	0	0	110481	172	316198	209	490	138	385	289	0	0	1518	177577	0	0	0	0	1634	142963	557	438	0	0	0	0	0	0	299	257	0	0	0	0	0	0	720	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	1
ASV2	0	0	0	0	0	0	36424	0	29435	0	29893	0	0	0	0	0	0	0	34268	0	178535	0	0	0	0	0	0	0	387	41365	0	0	0	0	272	30216	0	0	0	0	0	0	0	0	68	62	0	57	50	27	197	53	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1
ASV3	226	88	0	0	0	185	0	248	195	153	0	2299	2592	0	0	32235	60249	311	193	116	75	22092	9084	7698	3134	943	9130	719	0	0	32570	17253	56537	18427	0	0	0	0	0	0	193	242	1940	1494	0	0	0	0	98	0	129	0	178	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	0.6
ASV4	13631	15364	0	0	0	3216	0	0	0	0	0	4903	3937	352	0	129	303	447	184	452	150	228	0	0	0	204	0	113	0	0	982	1285	433	196	0	0	1049	0	0	0	3227	7607	135444	70613	0	0	0	0	0	0	158	0	11308	Bacteria;Proteobacteria;Gammaproteobacteria;Ignatzschineria_o;Ignatzschineria_f	0.7
ASV5	204	400	97	130	0	286	154	102	0	128	0	532	2193	1095	794	102	1480	416	0	204	0	4240	3599	8540	41910	50755	34829	47027	108	0	786	3550	2233	2940	189	0	2495	871	2017	4193	0	0	0	0	217	0	55	79	0	0	0	0	292	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	1
ASV6	728	322	0	0	0	531	0	298	0	2402	0	0	0	0	0	0	0	4963	0	3839	0	0	0	0	0	51	44	0	0	0	135	563	108	0	42	0	43885	50186	48343	44631	46	0	0	83	2289	0	0	0	0	0	0	0	408	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Gordonia	1
ASV7	621	698	0	0	0	0	0	0	0	0	0	53222	53510	5800	1696	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25709	37625	9728	5857	0	0	0	0	0	0	0	0	436	Bacteria;Proteobacteria;Gammaproteobacteria;Ignatzschineria_o;Ignatzschineria_f	0.7
ASV8	0	0	0	0	0	0	0	411	396	194	0	0	0	0	0	357	0	1320	0	536	0	35331	34915	78603	3280	2705	2304	3917	0	0	263	125	3097	8633	0	0	0	0	0	0	355	0	0	0	396	0	0	0	303	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	1
ASV9	0	0	0	0	0	0	0	0	0	0	0	21724	44920	0	0	1043	2793	0	0	0	0	414	575	183	424	2605	731	222	0	0	32401	45656	2612	2473	0	0	266	0	486	0	0	293	0	0	0	0	0	0	69	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1
ASV10	719	81	452	0	0	146	496	2563	1205	229	421	81	0	0	0	0	0	38	238	71	1252	0	0	0	0	0	127	0	0	799	0	0	685	56	0	425	66428	22702	38652	9587	45	0	0	0	233	31	0	0	0	0	0	0	463	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Ralstonia_f;Ralstonia	1
ASV11	71	0	0	0	0	131	0	156	134	28	0	2178	9393	33	86	239	1428	290	0	117	0	10850	7569	23112	15313	18785	14914	20394	0	69	220	755	2646	5812	0	0	241	89	56	179	0	0	0	0	105	41	0	0	0	0	0	0	117	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.6
ASV12	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	54411	45574	0	0	0	0	6242	2327	2734	1041	325	4471	355	0	0	2300	2784	1401	237	0	0	169	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0.9
ASV13	239	42	184	64	0	136	163	309	152	902	79	179	94	87	66	32	0	329	61	300	282	9097	251	807	36406	2529	16633	21017	100	233	280	225	257	99	0	100	8527	3456	6067	1459	0	0	0	0	533	0	31	0	0	0	0	0	341	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	1
ASV14	13444	5734	0	50	0	12054	0	153	0	5834	0	0	0	0	0	0	0	13060	0	15102	0	0	0	0	0	0	0	0	0	0	112	300	215	61	0	0	3765	8734	7337	7781	0	0	0	0	6231	0	0	0	0	0	0	0	8224	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium	1
ASV15	37	0	0	33	0	45	48	0	0	35	0	0	0	0	34	0	0	46	0	0	0	947	566	1372	21606	27880	20816	28424	34	0	18	71	1481	2873	0	0	0	34	0	0	0	0	298	27	0	23	0	0	0	0	0	0	38	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	1
